name,international
CHINTAN ENVIRONMENTAL RESEARCH AND ACTION GROUP,f
Christel House International,t
Christ's School Alumni Association of NorthAmerica,t
ChunHui Bo'Ai Children's Foundation,f
Cibervoluntarios Foundation,f
Citizens' Alliance for North Korean Human Rights,f
Citizen Schools,f
City Year Denver,f
City Year Little Rock/North Little Rock,f
"City Year Washington, DC",f
Civic Force,t
Clinica Verde,t
Clube de Desbravadores,f
"Coaching For Change, Inc.",f
COANIQUEM Burned Children Foundation,t
Coastal Resource Center (CRC),t
COBURWAS International Youth Organisation to Transform Africa (CIYOTA),f
CoderDojo Foundation,f
ColaLife,t
Colon Cancer Challenge Foundation,f
Colorado Haiti Project,t
Committee for a Better New Orleans,f
"Community Building Group, Ltd. Inc.",t
Community Carbon Trees- Costa RIca,f
Community Clinic Inc.,f
Community Development Center Kathmandu,f
Community Partners International,t
"Community Support Services, Inc.",f
Community Warehouse,f
Community Water Solutions,t
Companion Star Inc,t
Comprehensive Disaster Response Services,t
Comprehensive Rural Health Project,f
Conferencia de Iglesias Evangelicas de Guatemala (CIEDEG),f
Congo Lotus Care (Centre Medical Lotus),f
"Conservation through Poverty Alleviation, Int",t
CONSTELLATION OF HEARTS Charity Fund,f
Corals for Conservation,t
Corcovado Foundation,f
Corporacion Centro de Ciencia y Tecnologia de Antioquia,f
Corporacion Interactuar,f
Corporacion Sinfonia Tropico,f
Corporacion Superarse,f
Corporacion Surgir,f
CREA,f
Creating Hope International (CHI),t
Creative Learning Inc.,t
Creativity for Peace,t
Critter Camp Exotic Pet Sanctuary,f
Curamericas Global,t
Cure Alzheimer's Fund,f
CureCervicalCancer,t
Cure First,f
DAI,t
Dai Tu District Department of Education and Training,f
DAKTARI Bush School & Wildlife Orphanage,f
Damian Family Care Centers,f
Daminare Women's Group,f
Danang Cancer Hospital,f
Dance To Live,f
DanChurchAid,f
Daneshekar Rice Mill,f
Danish People's Aid,t
Danish Refugee Council (DRC),t
Danu Orthopedics Specialized Hospital,f
Danya International,t
Dapaong Hospital,f
Dar Al Salaam Hospital,f
Dar el Hanan,f
DARE Network (Drug and Alcohol Recovery and Education Network),f
Darfur Women Network,t
Darien Vicariate,f
Dar Si Hmad,f
Dartmouth College,t
Darussafaka Society,f
David Raines Community Health Centers,f
David Shepherd Wildlife Foundation,t
Davidson Medical Ministries Clinic,f
Davis Memorial Hospital,f
Davis Street Free Medical Clinic,f
Dawood Global Foundation - Educate a Girl,f
Days for Girls International,t
DAZZLING STONE HOME FOR CHILDREN,f
DBA Virginia B. Andes Volunteer Community Clinic,f
DCWC Nepal - Development of Children and Women Center,f
DEA Educational Foundation Youth Dance Program,f
Decorah Community Free Clinic,f
Deenanath Mangeshkar Hospital,f
Deep Springs International,t
Deeps Trust,f
Defenseurs des Opprimees/Opprimes,f
De La Salle University,f
Delegatus Sosial (Delsos) of the Diocese of Larantuka,f
Delhi State Aids Control Society,f
Delmas Rotary Club,t
Del Norte Community Health Center,f
Deloitte,t
Dembi Dollo Hospital and Tullu Gopo Clinic,f
Democracy and Human Rights (CREDDHO),f
Democracy and Human Rights Development Center (DHRD),f
"Denver Indian Health and Family Services, Inc.",f
Department for International Development (DFID),t
Department of Agriculture and Environmental Affairs,f
Department of Defense,t
Department of Health and Human Services,f
"Department of Health, Philippines",f
Department of Health South Africa,f
Department of School Education Haryana,f
Department of School Education Madhaya Pradish,f
Department of Small Works,f
Department of Social Welfare and Development,f
Department of Water Supply and Sewerage (DWSS),f
Department Sanitaire de Grand Anse,f
DEPDC,f
DESIRE Society,f
Deskan Institute & Training,f
De Smet Community Health Center,f
DeSmet Dental Service,f
"Detar Volunteer Services, Inc.",f
Deutsche Bahn,t
"Develop Africa, Inc.",t
"Developing Potential, Inc.",t
Development Aid from People to People in Malawi (DAPP Malawi),f
Development Aid from People to People Zimbabwe (DAPP Zimbabwe),f
Development and Training Services,t
Development Center for Children and Community Network,f
Development Education Network-Liberia,f
Development Gateway,t
Development Innovations Group (DIG),t
Development Principles NGO,f
Development Project Service Center Nepal,f
Developments in Literacy,t
Development Solutions Center,f
Development Solutions Organization (DSO),f
Development Support Bureau and community outreach Ngozi (BADEC Ngozi),f
Developpement Communautaire Chretien Haitien (DCCH),f
Devos Medical Center Bo-Waterside,f
DFCU Bank,f
DF Hospital General,f
Dharamsala Animal Rescue,t
DHL Global Forwarding,f
Dhulikhel Hospital Nepal,f
Diabetes Association of Jamaica,f
Diabetes Association of Malawi,f
Diabetes Association of Sri Lanka,f
Diabetes Clubhouse/Grace Lutheran School American Diabetes Association,f
Diabetes Destiny,f
Diabetes Youth Foundation of Indiana,f
Diabetes Youth Services,f
Diaconia Nacional (DN),f
Diakonie Katastrophenhilfe,t
Diaspora Community Services (DCS),t
Diema's Dream Fund (Russia),f
Diema Tin Tua Federation (FDTT),f
DIF Patzcuaro,f
Digitnas International,t
Dignity Health,f
"Dimagi, Inc.",t
Dinas Kesehatab,t
Diocese of Angola,f
Diocese of Arkansas,f
Diocese of Aru,f
Diocese of Belize,t
Diocese of Bo,f
Diocese of Central Tanganyika,f
Diocese of Colombia,f
Diocese of Colombo,f
Diocese of Colorado,f
Diocese of Connecticut,f
Diocese of Cuba,f
Diocese of Durgapur,t
Diocese of Eastern Michigan,f
Diocese of Easton,f
Diocese of El Salvador,f
Diocese of Guatemala,f
Diocese of Guinea,f
Diocese of Honduras,f
Diocese of Hpa-an,f
Diocese of Jerusalem,f
Diocese of Katanga,f
Diocese of Lebombo,f
Diocese of Liberia,f
Diocese of Livingston (DoL),f
Diocese of Mandalay,f
Diocese of Masvingo,f
Diocese of Matabeleland,f
Diocese of Moshi,f
Diocese of Myitkyina,f
Diocese of Newark,f
Diocese of New Jersey,f
Diocese of Niassa,f
Diocese of Northern Malawi,f
Diocese of Northern Uganda (DNU),f
Diocese of Oklahoma,f
Diocese of Sittwe,f
Diocese of Southeast Mexico,t
Diocese of Southern Malawi,f
Diocese of Toungoo,f
Diocese of Trujillo,f
Diocese of Upper Shire,t
Diocese of Uruguay,t
Diocese of Yangon,f
DIR (Developing Indigenous Resources),t
Direction Departementale Agricole Sud,f
Direction Departementale Sud du Ministere de l'Environnement,f
Direction Departementale Sud du MPCE,f
Direction Nationale de l'Eau Potable et Assainissement (DINEPA),f
Directorate of Refugee Affairs,f
Directorate Royal Medical Services,f
Discovery Eye Foundation,t
"Discovery Learning Alliance, Inc.",t
Dispensaire de Tayfer,f
Dispensaire Urbain de Bingerville,f
Dispensary and Clinic of Our Lady of Notre Dam,f
District Government Employees Federal Credit Union,t
District Health Management Team,f
District Hospital Filingue,f
District Hospital of Quissico,f
District Pastoralist Association (DPA),f
Diti Nasha Nadia (Children's Project),f
"Dive maky, o.z.",f
Diversity Health Care Clinical Office,f
"Diversity Health Center, Inc.",f
Divine Light Trust for the Blind,f
Divine Ministries in Hope for Children,f
Divya Jyothi Charitable Trust,f
DKT International,t
DOCARE International,t
DOCS for Hope,t
Doctors For You Field Hospital,f
Doctors of the World Rockaways Free Clinic,f
Doctors Without Borders,t
Doctors Without Walls - Santa Barbara Street Medicine,f
DOGPAW,f
Dokters van de Wereld / Medecins du Monde,t
Dolores County Health,f
Domestic Violence Solutions of Santa Barbara County,f
Domestic Workers Union of Liberia (DOWUL),f
Dominican Milk Producers Association,f
Dominican Republican Lions Club,t
Dominican Republic Education And Mentoring (DREAM) Project,t
Dominican Sister International Council,t
Dominican Sisters Refugee Aid,t
Don Bosco,f
Donetsk Municipal Hospital 21,f
Dong Thap Veterinary Department,f
Doris Daniely Outreach for Breast Reconstruction,f
Dormaa Children's Home Inc,t
Dorothy Jackson Family Resource Center,f
Douala Military Hospital,f
Double Harvest Clinic,f
Double H Ranch,f
Dounia Project,t
DoveLewis Emergency Animal Hospital,f
"Do Your Part, Inc",f
DPEBA BAM,f
DPEBA SANMATENGA,f
Dragonfly Forest,f
Dr. Ambrosio Grillo Portuondo Hospital,f
DRC Ministry of Health,f
Dream A Dream,f
Dream School Foundation,f
Dr. Garabed A. Fattal Community Free Clinic,f
Dr. Gary Burnstein Community Health Clinic,f
Dr. Le's Charity Clinic,f
Dr. Rafael S. Tumbokon Memorial Hospital,f
Dr. Schroff's Charity Eye Hospital (SCEH),t
Dr. Shroff's Charity Eye Hospital - New Delhi,t
Dr. Virgil Gianelli Medical Clinic St. Mary's Dining Room,f
Drylands Natural Resources Centre,f
DSRA Educational & Welfare Trust,f
D-Tree International,t
DUBAF Yelimat Mahiber,f
Duchesne Clinic,t
Duke Lemur Center,t
Dumka Social and Educational Society (DSES),f
Duncan Tree Foundation,t
DUNK Grassroots,f
Dup15q Alliance,f
Dustira Army Hospital,f
Dutabare Foundation,t
D VIRMANI EDUCATION TRUST & MANAGEMENT SOCIETY,f
"Dwana Smallwood Performing Arts Center, Inc.",f
DYF - Kaiser DYF - Camp de los Ninos,f
Dynamique de Paix en Casamance,f
Dynamique des Femmes Juristes,f
Dzevera 2009,f
Dzhan and Kirov,f
Earth Mission,f
EarthShare Oregon,f
EarthSpark International,t
Earthwatch Institute,t
East Africa Aid Foundation,t
East Bay Community Action Program,f
Eastern Mennonite University,t
Eastern Panhandle Free Clinic,f
Eastern Province Women Development Association (EPWDA),f
"Eastern Shore Rural Health Systems, Inc.",f
East Gojam Zone Department of Education,f
East Hararghe zone finance and economic development office,f
East Hararghe zone health offices,f
East Jerusalem YMCA,f
East Mississippi Animal Rescue,f
East Ocean View Medical & Dental,f
Eastside Family Dental Clinic,f
Eastside Neighborhood Clinic,f
East Timor Department of the Ministry of Agriculture and Fisheries,f
East Timor Women Australia (ETWA),f
East Valley Community Health Center Covina,f
"East-West Management Institute, Inc.",f
Easy R Equine Rescue,f
"Eau Claire Cooperative Health Centers, Inc.",f
Ebola Response Consortium (ERC),t
ECHO,t
Echoing Green,t
Eclof Colombia,f
EcoBank,f
Eco-Cultural Study and Restoration Center of Petchaboon Mountain Range Communities,f
Ecole St. Vincent School for Children with Disabilities,f
Ecologia Youth Trust,t
EcoLogic Development Fund,t
ECONOMIC DEVELOPMENT AND HIV/AIDS PREVENTION ORGANISATION (EDAPO),f
EcoWorks International,t
Ecuadorian Foundation of Muscular Dystrophy,f
Ecuador - Ministry of Foreign Affairs and Human Mobility,f
ECUARUNARI,f
Ecumenical Church Loan Fund,t
Ecumenical Church Loan Fund of Peru,t
Ecumenical Church Loan Fund of Sri Lanka,f
Ecumenical Foundation for Peace and Justice (FOPJ),f
Ecumenical Pharmaceutical Network,t
"Edesia, Inc.",t
EDF - Entrepreneurial Development Foundation,f
Edge of Seven,t
Edgerton Women's Health Center,f
Edna Adan University Hospital,f
Educacion 2020,f
Educare Fund,t
Educate Girls,f
Educate the Children,t
Educational Initiatives Foundation of America Center (FIECA),t
Educational Volunteers Foundation of Turkey (TEGV),f
Education Development Center,t
Education Fights Aids (EFA) International,t
Education pour une Societe Durable,f
"Education Through Music, Inc.",f
"Education Through Music-Los Angeles (ETM-LA, Inc.)",f
EdVillage,t
Edward R. Leahy Jr. Center Clinic for the Uninsured,f
Eglise Chretienne Reformed d'Haiti (ECRH),f
Eglise Evangelique Lutherienne de la Republique Centrafricaine,f
Eglise Methodiste d'Haiti,f
Egyptian Family Planning Association,f
eHealth Africa,f
EIFL,t
Eisner Pediatric and Family Medical Center - Pharmacy,f
Eisner Pediatric & Family Medical Center,f
EKARI Foundation,t
Ekjut,f
Ekta Trust,f
Ekwendeni Hospital,f
Eldany Charitable Foundation,f
El Desafio Foundation,t
El Dorado County Community Health Center,f
Elephant Energy,t
Elgar Pratishthan,f
El Hogar,t
Eliazar Germain,f
Elm Community Health Center,f
El Porvenir,f
El Proyecto Del Barrio,f
El Shaddai Charitable Trust,f
El Shaddai Medical Clinic,f
Elwa,f
ELWA Hospital,f
Emanuel Development Association (EDA),f
Embajada de la Soberana Orden de Malta,f
Embangweni Hospital,f
Embrace,t
Emel Hospital,f
Emkan,f
Emkweltmission,t
Emmanuel International (EI),t
Empower Dalit Women of Nepal,t
"em(POWER) energy group, inc.",t
Empower Generation,t
Enactus China Limited,f
Encadrement Sans frontieres,f
Encompass - The Daniel Braden Reconciliation Trust,t
Enda Ecopole,f
Enda Sante,f
Endorois Welfare Council,f
Enfance et Paix,f
Engineering World Health,t
Engineers Without Borders,f
Enjoyable Aging,f
Enrich Counselling & Therapy Centre,f
Ensaro woreda education office,f
EnsenaPeru,f
ensibuuko,t
Enstiti Kiltirel Kal Levek,f
Enterprise Learning Projects,f
Enterprise Uganda,f
Entiat Regional Health Clinic,f
Entrepreneurs du Monde,t
Environmental and Energy Study Institute (EESI),f
Environmental Camps for Conservation Awareness,f
Environmental Justice Coalition for Water,t
Environmental Leadership Program,f
Environmental Protection in the Caribbean,t
Environmental Protection Society (EPS),f
Environment and Development Action in the Third World (ENDA),t
Episcopal Church of Liberia,f
Episcopal Church of The Philippines,f
Episcopal Church of the South Sudan & Sudan,f
Episcopal Diocese of Haiti (Eglise Episcopale d'Haiti),f
Episcopal Refugee Network of San Diego,f
Equal Exchange,t
Equality Now,t
Equatorial Guinea Ministry of Health,f
Equatorial Guinea Red Cross Society,f
Equilibres et Populations (EquiPop),f
Equipe de Recherche et d'Appui Pour le Developpement (ERAD),f
Equip Manyatta,t
Equipo de Desarrollo Agropecuario de Cajamarca (EDAC),f
Equitas - International Centre for Human Rights Education,t
EQUUS Foundation,f
Eric B. Chandler Health Center,f
"Escambia Community Clinics, Inc.",f
Escuela de Educacion Especial de San Miguel de Allende AC,f
Escuela Latino Americanos de Medicine (ELAM),f
Escuela Nacional de Salud Publico,f
Escuela Taller de Artes y Oficios de San Cristobal de las Casas,f
Esnawan Antariksa Air Force Hospital,f
Espace Confiance,f
Esperanza Health Centers,f
Ethiopia Ministry of Health,f
Ethiopian Diabetes Association,f
Ethiopian Health and Nutrition Research Institute,f
Ethiopian Kale Heywot Church (EKHC),f
Ethiopian Orthodox Church Development Inter-Church Aid Commission (EOC-DICAC),f
Ethiopian Wildlife and Natural History Society,f
ETIC,f
Etowah Baptist Charity Pharmacy,f
Etowah Free Community Clinic,f
Etta Projects,t
Eufaula Health & Wellness,f
Eunice Community Health Center,f
Eureka Community Health Center,f
Euro Health Group,t
European Commission,t
European Federation of Crohn's and Ulcerative Colitis Associations,t
Evangelical Lutheran Church in Tanzania (ELCT),f
Evelyn Peters Jewish Community Center,f
Even Ground,t
Evergreen Health Center,f
everyday gandhis,t
Excelth Family Health Center- Algiers,f
"EXCELth, Inc.",f
"Exodus Refugee Immigration, Inc.",f
Expanding Opportunities,t
ExpandNet,t
Exxon Mobile,t
Fabretto Children's Foundation,t
Fabulous African Fabrics,t
Faculty of Agronomy and Veterinary Medicine (Faculte d'Agronomie et de Medecine Veterinaire - FAMV),f
"Fairfax Medical Facilities, Inc",f
Fair Fruit,t
"Fair Haven Center for Women, Inc.",f
Fair Life Africa Foundation,f
Fair Trade Organization of Kenya,f
Fair Trade USA,t
Fairview Community Health Center,f
Faith and Love in Action,f
Faith Community Health Center,f
Faith Community Pharmacy,f
Faith Family Medical Clinic,f
Fajara Barracks Clinic,f
Fallbrook Family Health Center,f
FAME Inc.,f
Familia y Medio Ambiente (FAMA),f
Families Without Borders,f
Family AIDS Care and Education Services (FACES),f
Family Development Services & Research,f
Family Health Care of Northwest Ohio,f
Family Health Center of Floyd County,f
Family Health Centers of Southwest Florida,f
Family Health Clinic of Carroll County,f
Family Health Clinic of Monon,f
Family Health - La Clinica,f
Family Health Partnership Clinic,f
Family Oriented Primary Health Care,f
Family Service Agency of Santa Barbara,f
FAMONJENA,f
Fanaye Association for Integrated Development,f
Fandrosoana,f
Fan Free Clinic,f
Fanm Deside,f
Fanm Viktim Leve Kanpe (FAVILEK),f
Faradje General Hospital,f
Faraja Cancer Support Trust,f
Faraja Hospital,f
Faranfasi-So,f
Farm Africa,t
Farm Concern International (Tanzania),f
Farmers' Association Adriatik,f
Farmers' Association of Ben Tre Province,f
Farmer's Association of Long An province,f
Farmers' Association Zhvillimi Fier,f
Farming Extension Center of Long An Province,f
Farming Systems of Kenya (FSK),f
Farm Radio International (FRI),t
Farm School of Altillanura,f
FAS (Fundacion Ambiente y Sociedad),f
Fatima Memorial Hospital,f
Fatima Mission Hospital,f
Fayette CARE Clinic,f
Fayoum University,f
FCYD Camp UTADA,f
FDS Kenieba,f
FDTN for Rural Electrification for Economic Development (FREED),f
FECCANO,f
FECCEG Coffee Cooperative,f
Fedde Balal Allah Women's Group,f
Federacion de Comunidades Nativas del Bajo Ucayali,f
Federacion Nacional de Cafeteros de Colombia,f
Federacion Nacional de Vendedores de los Mercados (FENAVEMER),f
Federal Ministry of Women Affairs and Social Development,f
Federation des Associations de Developpement Communautaire (FADEC),f
Federation des Associations pour le Developpement des Anglais (FADA),f
Federation des caisses d'epargne et de credit agricole mutuel (FECECAM),f
Federation des Cooperatives Agricoles pour la Rehabilitation de la Region de Beaumont (FECARRB),f
Federation des Unions Bako Sababou Gnuman (FUBAS),f
Federation des Unions Cooperatives d'Epargne et de Credit (FUCEC),f
Federation des Unions de Societes Cooperatives,f
Federation Kishi (Niger),f
Federation nationale producteurs palmiers Ã huile,f
Federation of Centers Faranfasi-So,f
Federation of Cocoa Cooperatives in the North,f
Federation of Trade Unions of Ukraine (FPU),f
Federation of Workers Councils and Unions in Iraq (FWCUI),f
FedEx,t
Feeding Pets of the Homeless,t
Feeding the Nations,t
Feed My Starving Children,t
Feed the World,t
Feinstein International Center (Tufts University),t
Fejer Megyei Esely Gyermekvedelmi es Gyermeksegito Alapitvany,f
Fellow Mortals Wildlife Hospital,f
Fellowship of Associates of Medical Evangelism,t
Feminist Approach to Technology Society,f
Femme en Action contre la Stigmatisation et la Discrimination Sexuelle (FACSDIS),f
Femmes en Democratie,f
FENOCIN,f
Feral Cat Coalition of Oregon,f
Fermanthe,f
"FernCare Free Clinic, Inc.",f
Fetal Care Research Foundation,f
"Fetal Medicine Foundation, Ukraine",f
Fetter Health Center Network,f
Fe y Alegria Health Clinic,f
FHI 360,t
FIBRAS/MpN,f
FIDAL Foundation,t
FIFA,t
Fiji Pharmaceutical & Biomedical Services Centre,f
FIKELELA AIDS PROJECT,f
Filles Charite,f
Final Command Ministries,t
Finamigo,f
Finance Trust Bank,f
Financial Services Volunteer Corps (FSVC),t
Financiera Confianza,f
FINCA International,t
FINCA Peru,f
Finger Lakes Migrant Health,f
Finn Church Aid (FCA),t
First Baptist Church of Morton,t
First Baptist Church of North Kansas City,t
First Choice Primary Care,f
First Hand Aid,t
First Hospital of Ulaanbaatar,f
Firstmed Health and Wellness Center,f
First UMC of Coral Springs,t
Fishers of Men Ministries,f
"Fishing for Families in Need, Inc.",t
FISULAB - CENTRO DE REHABILITACION PARA NINOS CON LABIO Y PALADAR FISURADO,f
FKM UNDIP,t
Flager County Free Clinic,f
Flint Hills Community Clinic,f
Floating Doctors Inc,t
Floresta Ayiti,f
Floresta Burundi,f
Floresta DRC,f
Floresta Tanzania,f
Florida Association for Volunteer Action in the Caribbean and the Americas (FAVACA),t
Florida Association of Community Health Centers,f
Florida Community Health Centers,f
Florida Diabetes Camp,f
Florida Hospital,t
Florida International University,t
Flying Horse Farms,f
Flying Samaritans,t
Fly The Phoenix,t
Foguavi,f
Fomento Cultural y Educativo A.C.,f
FONABEC,f
FONDAGRO Credit Union,f
FONDAMIE,f
Fondasyon Limye Lavi,f
FONDATION BETHLEEM DE MOUDA,f
Fondation CHIBAS,f
Fondation Digicel,f
Fondation Etre Ayisyen,f
Fondation Feuilles d'Hier,f
Fondation Haitienne de Diabetes et la Maladies Cardio-Vasculaires,f
Fondation Haitienne de L'Enseignement Prive,f
Fondation Haitienne pour le Maintien de la Paix Sociale/Partenariat pour le Developpement Local (FOHMAPS/PDL),f
Fondation Maurice A.Sixto and Oganizasyon fanm Vanyan an Aksyon,f
Fondation Oecumenique pour la Paix et la Justice,f
Fondation Orchidee,f
Fondation Paradis des Indiens (FPI),f
Fondation Pour le Developpement au Sahel (FDS),f
Fondation pour le Developpement d l'Artisanat Haitien (FDAH),f
Fondation SEROvie,f
FONDEFH,f
Fondo Mexicano para la Conservacion de la Naturale,f
Fonds des Reseaux d'Aide Pour le Developpement Economique et Sociale,f
Fonds National de Promotion de l'Entreprise et de l'Emploi des Jeunes (FNPEEJ),f
Fonds pour les Femmes Congolaises,f
Fonkoze,f
Food and Agriculture Organization of the United Nations (FAO),t
Food and Allied Workers Union (FAWU),f
Food and Rural Development Foundation (FORUDEF),f
Foodbank of Southern California,f
Food Bank of the Rockies,t
Food Chain Workers Alliance,t
Food First/Institute for Food and Development Policy,t
Food For Thought - Denver,f
Food Resource Bank,t
Foor for the Poor,t
Foothills Community Health Care,f
"Fordland Clinic, Inc",f
Forest Baptist Church,f
Forest Baptist Church Medical Mission Clinic,f
For Gender Integration Association,f
Formula Sonrisas Foundation,f
Fort Bend Family Health Center,f
Fortis Escorts Hospital,f
Fort Pierce Center,f
Fort Pierce Good Samaritan Free Clinic,t
Fortress of Hope Africa,f
Fort San Michel Health Clinic,f
Fort Thompson Community Health Center,f
Forum for Awareness and Youth Activities Nepal (FAYA),f
Forum Mulher,f
Forum of Arab Women's Organizations in the Negev (Ma'an),t
Forum on Sustainable Child Empowerment,f
FOSREF,f
Fos Refleksyon ak Aksyon sou Koze Kay (FRAKKA),f
FOSUP,f
Foundation 4Life,t
Foundation Center,t
Foundation 'Children's Hospice in Wroclaw',f
Foundation Esther Boucicault-Stanislas (FEBS),f
Foundation for Community Development and Empowerment,t
Foundation for Community Initiatives,f
Foundation for Education and Development (GHRE),f
Foundation for Initiatives in Development and Education for All ( IDEA),f
Foundation for Life,f
Foundation for Peace,t
Foundation for Reproductive Health and Family Education (FOSREF),f
Foundation for Research and Rural Development (FIDER),f
Foundation for Research in Health Systems (FRHS),f
"Foundation for Restoring Healthcare to Liberia, Inc.",t
Foundation for Social Transformation - enabling north east india,f
Foundation Hope for Haiti,t
Foundation International Bible Institute,f
Foundation Lalla Salma Prevention & Treatment of Cancers,f
Foundation Tananua Sumba,f
Foundation University,f
Fountain of Hope Youth Initiative Group,f
Fountains of Hope International,t
Four Rivers Healthcare Clinic,f
Foursquare Children of Promise (FCOP),t
Four Walls and a Roof Cotacachi Project,t
Fox Cities Community Clinic,f
Foyer de Developpement pour l'Autopromotion des Pygmees et Indigenes Defavorises,f
Foyer Espoir pour les Enfants,f
FRADES,t
"Francis House, Inc.",f
Frankfurt Zoological Society,f
Franklin County Volunteers,f
Franklin Elementary School,f
Franklin Institute,t
Franklin Primary Health Center,f
Franklin Terrace,f
Franktown Coummunity Health Center,f
Fred and Velva Levine Residence,f
Free and Fair Elections Network (FAFEN),f
Free Clinic of Central Virginia,f
Free Clinic of Culpeper,f
Free Clinic of Danville,f
Free Clinic of Franklin County Bernard Healthcare Clinic,f
Free Clinic of Goochland,f
Free Clinic of Newton,f
Free Clinic of Our Towns Ada Jenkins Center,f
Free Clinic of Powhatan,f
Free Clinic of Simi Valley,f
Free Clinic of SW Washington,f
Free Clinics of Henderson County,f
Freedom Foundation,f
Freedom House Inc.,t
Freedom Warming Centers Unitarian Society of Santa Barbara,f
Freely in Hope,t
Free Medical Clinic of Darlington County,f
Free Medical Clinic of DuBois,f
Free Medical Clinic of Northern Shenandoah Valley,f
"Free Medical Clinic of Oak Ridge, Inc.",f
Free Methodist Mission,t
Free Minds Book Club and Writing Workshop,f
Free the Kids,t
Free Wheelchair Mission,t
Free Yezidi Foundation,f
French National Institute of Agronomic Research (INRA),t
Frente Norte del Ãrea Metropolitana,f
Frente Petenero Contra Represas,f
Freundeskreis fur Internationale Tuberkulosehilfe,t
Friends For Health,f
Friends in Action International,t
Friends of African Village Libraries (FAVL),t
Friends of Burkina Faso (FBF),t
Friends of Christ In India,t
Friends of El Sistema Japan,f
Friends of ENCA Farm,t
Friends of Haiti,t
Friends of Haiti (PA),t
Friends of Humanity,t
Friends of Lake Turkana,f
Friends of Patan Hospital,f
Friends of Petit Goave,f
Friends of Szadvar (Szadvaert Barati Kor),f
Friends of the Children of Haiti,f
Friends of the Children of Haiti Medical Clinic,f
Friends of the Old (FOTO),f
"Friends of UNFPA, Inc",t
"Friends of Warm Hearth, Inc.",t
Friends of Yimbo,f
FRIGE's Institute of Human Genetics,f
Fromage Sidastop (FSS),f
Fruit Tree Planting Foundation,t
Fukushima Kids Executive Committee,f
Fukushima University,f
Full Belly Project,t
Fuller Center,t
"Full Moon Farm, Inc.",f
Fulton School for the Deaf,f
Functional Literacy Ministry of Haiti,t
Funda Ayuda,f
Fundacao Cafu,f
Fundacao Lama Gangchen para a Cultura de Paz,f
FUNDACAO LURDES MUTOLA,f
Fundacion AGIL,f
Fundacion Ambiente y Sociedad FAS,f
Fundacion Amiguitos Royal,f
Fundacion Apoyo al Hemofilico,f
Fundacion Arado,f
Fundacion Artistica y Social La Familia Ayara,f
Fundacion Calicanto,f
Fundacion Caminando Juntos,f
Fundacion Cardiologica Cientifica,f
Fundacion Castillo Del Ray,f
Fundacion CEDESOL,t
Fundacion Cimientos,f
Fundacion Colombiana de Leucemia y Linfoma,f
Fundacion CRAN,f
Fundacion Cruz Jiminian,f
Fundacion Curando Mexico,t
Fundacion de Estudios para la Aplicacion del Derecho,f
Fundacion DEHVI,f
Fundacion EDUCA Mexico,f
Fundacion Escuela Nueva Volvamos a la Gente,f
Fundacion ESPOIR,f
"Fundacion Esquipulas, A.C.",f
Fundacion FEDES (Fundacion Educativa de Desarrollo Economico y Social),f
Fundacion Futuros Valores de Barranquilla,f
Fundacion Genesis Empresarial,f
Fundacion Heart Ventures,f
Fundacion Hernan Echavarria Olozaga,f
Fundacion Igualdad LGBT,f
"Fundacion IMSS, A.C.",f
FUNDACION JUNIOR ACHIEVEMENT SPAIN,f
Fundacion Junto Con los Ninos (JUCONI),f
Fundacion Lachua,f
Fundacion Leer,t
Fundacion Manos Juntas,f
Fundacion Nacional Para El Desarrollo,f
Fundacion Natura,f
Fundacion Natura - Panama,f
Fundacion Ninos de los Andes,f
Fundacion Oir es Vivir,f
Fundacion Oportunidad,f
Fundacion Para el Desarrollo Integral de Programas Socioeconomicos (FUNDAP),f
Fundacion Para El Nino Con Cancer,f
Fundacion Paraguaya,f
Fundacion para la Educacion y Desarrollo Integral YACHANA,f
Fundacion Patronato Maria Auxiliadora,f
Fundacion Proacceso ECO A.C.,f
Fundacion ProEmpleo Productivo A.C.,f
Fundacion ProPeten,f
Fundacion PUNTACANA,f
Fundacion Realidad A.C.,f
Fundacion Rescate para Animales Desamparados (FRAD),f
Fundacion Servicio de Vivienda Popular - Servivienda,f
Fundacion Sirenaica,f
Fundacion Solidaria,f
"Fundacion Solidaria del Divino Nino Jesus, Inc",f
FUNDACION SOLIDARIA LA VISITACION-FSV,f
Fundacion Tiempo de Juego,f
Fundacion Tzedaka,f
Fundacion Universidad de Golfito,f
Fundacion Vision,f
Fundalachua,f
Fundanier,f
Fundauniban,f
FUNDEBASE Foundation for the strengthening of grassroots organizations,f
FUNDECOL,f
FUNDHAMUJER (Fundacion para la mujer apurena),f
FUNDOWN CARIBE,f
Funing Family Planning Association,f
FUNSALUD,f
FUSAL,f
"Future Problem Solving Program International, Inc.",t
Futures Group,t
G. A. Carmichael Family Health Center,f
Gadyen Dlo,f
Gaia Association,t
GAIA Vaccine Foundation,t
"GAIN, Inc Greater Access to those in Need",f
GAKO Organic Training Center,f
Galagadera District Hospital,f
Galchonok,t
Gales Creek Camp,f
Galileo University,f
Galkayo Medical Center,f
Galmi Hospital,f
Galveston County Health District,f
Gambela Children and Community Development organization (GCCDO),f
Gandhi Research Foundation,f
Ganta Hospital,f
Ganta Methodist Mission,f
Gao Nursing School,f
Garfield Health Center,f
"Gaston Family Health Services, Inc.",f
Gateway Community Health Center,f
